Config ID,Heads,Sampling,Triplet Loss,Batch Size,Mean 4-Fold F1,Ensemble Test F1 (game5),Epochs game2,Best F1 game2,Epochs game4,Best F1 game4,Epochs game6,Best F1 game6,Epochs game7,Best F1 game7
H2_S-50_50_T-old_B-32,2,50_50,old,32,57.432928817141786,87.46181913098945,59,40.27730284119756,33,68.38460301666062,24,34.81844816974442,37,86.25136124096454
H2_S-50_50_T-new_B-32,2,50_50,new,32,56.133439016684065,86.3764770619191,39,37.214147067151686,54,67.51991128758709,35,31.84725250422292,26,87.95244520777455
H3_S-50_50_T-old_B-32,3,50_50,old,32,52.21473230309878,82.7612729316838,25,27.16711889934701,35,65.0907522430032,34,31.82682800531041,72,84.7742300647345
H3_S-50_50_T-new_B-32,3,50_50,new,32,53.025846222165654,69.98496294499402,36,28.70280786472254,58,66.1301324448652,26,33.20198666167503,40,84.06845791739987
