source_csv,Config ID,Heads,Sampling,Freeze Backbone,Triplet Loss,Similarity Loss,Batch Size,Loss,Label Smoothing,Data Augmentation,Test-Time Augmentation,Metric Weight,Ensemble Test F1 (game5)
running_results.csv,H1_S-50_50_T-old_F-False_B-64,1,50_50,FALSE,TRUE,FALSE,64,cross-entropy,FALSE,FALSE,FALSE,1,72.02
FINAL_RESULTS_114.csv,H3_S-50_50_T-new_B-32,3,50_50,FALSE,FALSE,TRUE,32,cross-entropy,FALSE,FALSE,FALSE,1,69.98
FINAL_RESULTS.csv,H1_S-none_T-old_F-False_B-32,1,none,FALSE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,68.25
running_results_exp.csv,H1_S-none_T-old_F-False_B-32,1,none,FALSE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,68.25
results_task_5.csv,H3_S-50_50_T-new_F-True_B-16,3,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,58.39
FINAL_RESULTS.csv,H1_S-50_50_T-old_F-True_B-32,1,50_50,TRUE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,57.60
running_results_exp.csv,H1_S-50_50_T-old_F-True_B-32,1,50_50,TRUE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,57.60
FINAL_RESULTS (1).csv,H3_S-50_50_T-new_F-True_B-16,3,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,57.49
running_results_exp (1).csv,H3_S-50_50_T-new_F-True_B-16,3,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,57.49
FINAL_RESULTS (1).csv,H2_S-50_50_T-new_F-True_B-16,2,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,56.64
running_results_exp (1).csv,H2_S-50_50_T-new_F-True_B-16,2,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,56.64
FINAL_RESULTS (1).csv,H1_S-50_50_T-old_F-True_B-32,1,50_50,TRUE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,56.36
running_results_exp (1).csv,H1_S-50_50_T-old_F-True_B-32,1,50_50,TRUE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,56.36
FINAL_RESULTS.csv,H3_S-50_50_T-new_F-True_B-16,3,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,56.05
running_results_exp.csv,H3_S-50_50_T-new_F-True_B-16,3,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,56.05
FINAL_RESULTS.csv,H2_S-50_50_T-new_F-True_B-16,2,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,55.97
running_results_exp.csv,H2_S-50_50_T-new_F-True_B-16,2,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,55.97
results_task_2.csv,H2_S-50_50_T-new_F-True_B-32,2,50_50,TRUE,FALSE,TRUE,32,cross-entropy,FALSE,FALSE,FALSE,1,55.89
results_task_1.csv,H2_S-50_50_T-new_F-True_B-16,2,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,55.48
FINAL_RESULTS.csv,H1_S-50_50_T-new_F-True_B-16,1,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,55.36
running_results_exp.csv,H1_S-50_50_T-new_F-True_B-16,1,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,55.36
FINAL_RESULTS (1).csv,H1_S-50_50_T-new_F-True_B-16,1,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,55.33
running_results_exp (1).csv,H1_S-50_50_T-new_F-True_B-16,1,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,55.33
